iter	RMSE
0	0.3183578871
1	0.3111777665
2	0.3036659215
3	0.2964186059
4	0.2891526045
5	0.2824015969
6	0.2763592518
7	0.2698972841
8	0.2640521761
9	0.2586570107
10	0.2533873178
11	0.2482361369
12	0.2431940308
13	0.2388064095
14	0.2347947342
15	0.2311029778
16	0.2274095963
17	0.2238474966
18	0.2206115649
19	0.2172097223
20	0.2139923098
21	0.2110908128
22	0.2088775916
23	0.2064364858
24	0.2037584468
25	0.201052554
26	0.1986764077
27	0.1964190308
28	0.1945032114
29	0.1923590036
30	0.1903708714
31	0.1885738797
32	0.1870588386
33	0.1859250115
34	0.1841944964
35	0.182721557
36	0.1814429031
37	0.1802338074
38	0.1793134583
39	0.178096786
40	0.1769201186
41	0.1762122524
42	0.1750705722
43	0.1742634481
44	0.173668375
45	0.172891438
46	0.1719446692
47	0.171125267
48	0.170267913
49	0.1698185144
50	0.1690583056
51	0.1682451351
52	0.1677557292
53	0.1670199308
54	0.1663472466
55	0.1658393595
56	0.1651808105
57	0.1646229457
58	0.1639543296
59	0.1635393752
60	0.1628844095
61	0.1624663431
62	0.1621815114
63	0.1619014083
64	0.1615568504
65	0.1610263997
66	0.1607352057
67	0.160401595
68	0.1600977233
69	0.1597392231
70	0.1593290525
71	0.1588634216
72	0.158355939
73	0.1581417933
74	0.157831808
75	0.1575852115
76	0.1572726459
77	0.1568202245
78	0.156465516
79	0.1561141429
80	0.155794575
81	0.1555290622
82	0.1552322113
83	0.1549093124
84	0.1546791365
85	0.1544251108
86	0.1539212491
87	0.1536354355
88	0.1533355713
89	0.1529370659
90	0.1526351231
91	0.1523373704
92	0.1519740835
93	0.1516370516
94	0.1514457331
95	0.1511402496
96	0.1510244848
97	0.1507357263
98	0.1503331971
99	0.1500384339
100	0.1498663566
101	0.1496314824
102	0.1493467738
103	0.1490784305
104	0.1487252845
105	0.1485908593
106	0.1482148216
107	0.1479675695
108	0.1477846067
109	0.1473752073
110	0.1470623217
111	0.1468418289
112	0.1466648225
113	0.1463120825
114	0.1460424902
115	0.145837681
116	0.1454681234
117	0.1451448681
118	0.1447220877
119	0.1446340665
120	0.1443597831
121	0.1442129741
122	0.1440641642
123	0.1439914928
124	0.1436028104
125	0.1434292078
126	0.1432324715
127	0.1429212993
128	0.142443373
129	0.1421473882
130	0.1419052628
131	0.1416646424
132	0.1415561885
133	0.1413280714
134	0.1411650045
135	0.1408236649
136	0.140698489
137	0.1405923239
138	0.1402258455
139	0.1399965697
140	0.1399131715
141	0.1397626646
142	0.1395595973
143	0.1393971539
144	0.1391385411
145	0.1390220117
146	0.1387802349
147	0.1383134803
148	0.1379258997
149	0.1377496403
150	0.1375928971
151	0.1372865229
152	0.1370585781
153	0.136908386
154	0.1366803906
155	0.1363934834
156	0.1362285055
157	0.1360610728
158	0.1359209066
159	0.1358495908
160	0.1357308733
161	0.1355040269
162	0.1352794925
163	0.1349026284
164	0.1347244808
165	0.1344971206
166	0.1342628203
167	0.1340653127
168	0.1337189015
169	0.1336323613
170	0.1334051434
171	0.1330946985
172	0.1328869191
173	0.1327599421
174	0.1325622178
175	0.1323241788
176	0.132057134
177	0.1317867043
178	0.1316413889
179	0.1313750132
180	0.1312442149
181	0.130938974
182	0.1308307237
183	0.1305645571
184	0.1304945247
185	0.1302778696
186	0.1301629484
187	0.1300570511
188	0.1299100713
189	0.129691139
190	0.1295534694
191	0.1292315073
192	0.1290688864
193	0.1286231066
194	0.1283243814
195	0.1281510953
196	0.1280603084
197	0.127934724
198	0.1276349746
199	0.127532896
200	0.1273825335
201	0.1271242862
202	0.1268921808
203	0.1266610538
204	0.126505771
205	0.1264278063
206	0.1262507937
207	0.1260769022
208	0.126004552
209	0.1259172223
210	0.1258044045
211	0.125512773
212	0.1253916203
213	0.1252240788
214	0.1250956878
215	0.1246808735
216	0.1243997304
217	0.1242505582
218	0.1241811157
219	0.1240024484
220	0.1238277318
221	0.1235463603
222	0.1234366755
223	0.1230771766
224	0.1227904177
225	0.122729573
226	0.1225120627
227	0.1221914974
228	0.1219014632
229	0.1217689517
230	0.1215349741
231	0.1211773101
232	0.1210483426
233	0.1209245574
234	0.1207536238
235	0.1204877353
236	0.1201540925
237	0.1198154241
238	0.119686164
239	0.1194171669
240	0.1192406985
241	0.1189889837
242	0.118750857
243	0.1186251148
244	0.1184866813
245	0.1182862903
246	0.118179348
247	0.1180529468
248	0.1178125046
249	0.1176436416
250	0.1175004143
251	0.117366408
252	0.1171616566
253	0.1171198744
254	0.1166554309
255	0.1164461065
256	0.116232789
257	0.1161523969
258	0.1157752377
259	0.115574579
260	0.115437393
261	0.1152824829
262	0.1149258294
263	0.1145817067
264	0.1143961826
265	0.1142409943
266	0.113909233
267	0.1137198769
268	0.1134078815
269	0.1132954946
270	0.1131931575
271	0.1129589923
272	0.1127187515
273	0.1125395649
274	0.1124034278
275	0.112270292
276	0.1121369163
277	0.1119149768
278	0.1116766446
279	0.111261928
