iter	Passed	Remaining
0	2	2061
1	3	1899
2	5	1792
3	7	1782
4	8	1756
5	10	1740
6	12	1742
7	13	1734
8	15	1736
9	17	1731
10	19	1729
11	20	1717
12	22	1712
13	24	1713
14	26	1736
15	28	1726
16	29	1725
17	31	1724
18	33	1720
19	35	1715
20	36	1710
21	38	1701
22	39	1695
23	41	1694
24	43	1681
25	44	1675
26	46	1674
27	48	1672
28	49	1671
29	51	1667
30	53	1666
31	55	1664
32	56	1663
33	58	1660
34	60	1655
35	61	1653
36	63	1647
37	65	1645
38	66	1645
39	68	1646
40	70	1647
41	71	1641
42	73	1626
43	74	1613
44	75	1602
45	76	1590
46	77	1578
47	79	1568
48	80	1561
49	81	1550
50	82	1537
51	83	1526
52	84	1514
53	85	1503
54	87	1504
55	88	1499
56	90	1490
57	91	1483
58	92	1474
59	93	1465
60	94	1460
61	96	1452
62	97	1447
63	98	1439
64	99	1434
65	101	1429
66	102	1422
67	103	1413
68	104	1405
69	105	1401
70	106	1398
71	108	1395
72	109	1389
73	110	1386
74	112	1384
75	113	1379
76	114	1377
77	116	1372
78	117	1368
79	118	1363
80	120	1361
81	121	1356
82	122	1352
83	123	1346
84	124	1342
85	126	1339
86	127	1335
87	128	1330
88	129	1326
89	130	1320
90	131	1318
91	133	1314
92	134	1309
93	135	1307
94	136	1303
95	138	1300
96	139	1297
97	140	1292
98	141	1289
99	142	1286
100	144	1282
101	145	1279
102	146	1276
103	147	1274
104	149	1270
105	150	1267
106	151	1264
107	152	1262
108	154	1261
109	155	1257
110	156	1255
111	158	1255
112	159	1253
113	161	1252
114	162	1251
115	164	1250
116	165	1249
117	166	1246
118	168	1244
119	169	1242
120	171	1242
121	172	1240
122	173	1239
123	175	1237
124	176	1235
125	177	1234
126	179	1232
127	180	1230
128	182	1229
129	183	1228
130	185	1227
131	186	1226
132	187	1224
133	189	1222
134	190	1221
135	191	1219
136	193	1217
137	194	1214
138	195	1212
139	196	1209
140	198	1207
141	199	1204
142	200	1202
143	201	1200
144	203	1198
145	204	1196
146	205	1194
147	207	1191
148	208	1189
149	209	1187
150	210	1185
151	212	1184
152	213	1181
153	214	1179
154	216	1178
155	217	1176
156	218	1175
157	220	1174
158	221	1172
159	223	1171
160	224	1170
161	225	1168
162	227	1166
163	228	1166
164	230	1165
165	231	1164
166	233	1162
167	234	1160
168	236	1162
169	237	1161
170	239	1160
171	240	1159
172	242	1159
173	244	1158
174	245	1157
175	247	1157
176	248	1156
177	250	1155
178	251	1154
179	253	1153
180	254	1152
181	256	1152
182	258	1151
183	259	1150
184	260	1149
185	262	1148
186	263	1147
187	265	1146
188	267	1145
189	269	1149
190	271	1149
191	272	1148
192	275	1152
193	277	1152
194	279	1152
195	281	1153
196	283	1154
197	284	1153
198	286	1154
199	288	1155
200	290	1156
201	292	1156
202	294	1156
203	296	1155
204	297	1155
205	299	1155
206	301	1155
207	303	1155
208	304	1153
209	306	1152
210	308	1152
211	309	1150
212	311	1149
213	312	1148
214	314	1148
215	315	1146
216	317	1145
217	318	1142
218	319	1141
219	321	1139
220	322	1136
221	323	1134
222	325	1132
223	326	1131
224	327	1129
225	329	1127
226	330	1125
227	331	1123
228	333	1121
229	334	1119
230	335	1117
231	336	1114
232	338	1113
233	339	1110
234	340	1109
235	342	1107
236	343	1106
237	344	1104
238	346	1102
239	347	1101
240	349	1099
241	350	1097
242	351	1095
243	353	1093
244	354	1091
245	355	1089
246	357	1088
247	358	1086
248	360	1086
249	361	1085
250	363	1084
251	365	1084
252	366	1082
253	368	1081
254	369	1079
255	370	1077
256	372	1076
257	373	1075
258	375	1073
259	376	1071
260	378	1071
261	380	1070
262	381	1068
263	382	1066
264	383	1064
265	385	1062
266	386	1061
267	387	1059
268	389	1057
269	390	1056
270	392	1055
271	393	1053
272	395	1052
273	396	1050
274	398	1049
275	399	1047
276	400	1045
277	401	1043
278	403	1042
279	405	1041
280	406	1040
281	407	1038
282	410	1038
283	411	1037
284	413	1036
285	414	1034
286	416	1034
287	417	1033
288	419	1031
289	420	1029
290	421	1027
291	423	1026
292	424	1024
293	426	1023
294	427	1021
295	428	1019
296	430	1018
297	431	1017
298	433	1015
299	434	1014
300	436	1012
301	437	1010
302	438	1009
303	440	1007
304	441	1006
305	443	1004
306	444	1003
307	445	1001
308	447	1000
309	449	1000
310	450	998
311	451	996
312	453	994
313	454	992
314	455	991
315	457	990
316	458	988
317	460	986
318	461	984
319	463	984
320	464	982
321	465	980
322	467	979
323	468	978
324	470	976
325	471	975
326	472	973
327	474	971
328	475	970
329	477	968
330	478	967
331	479	965
332	481	963
333	482	962
334	483	960
335	485	959
336	486	957
337	488	956
338	490	955
339	491	953
340	492	952
341	494	950
342	495	949
343	497	948
344	498	946
345	500	945
346	501	944
347	503	942
348	504	941
349	505	939
350	507	937
351	508	936
352	510	935
353	511	933
354	513	932
355	514	931
356	516	929
357	517	927
358	518	925
359	519	924
360	521	922
361	523	922
362	524	921
363	526	919
364	527	917
365	528	916
366	530	914
367	531	912
368	532	911
369	533	909
370	535	907
371	536	905
372	537	904
373	539	902
374	540	900
375	541	899
376	543	897
